,Title,Genres,Ratings,Director
0,Spider-Man: No Way Home,"Action, Adventure, Fantasy",8.3,Jon Watts
1,Dune,"Action, Adventure, Drama",8.0,Denis Villeneuve
2,Don't Look Up,"Comedy, Drama, Sci-Fi",7.2,Adam McKay
3,Squid Game,"Action, Drama, Mystery",8.0,
4,Zack Snyder's Justice League,"Action, Adventure, Fantasy",8.0,Zack Snyder
5,No Time to Die,"Action, Adventure, Thriller",7.3,Cary Joji Fukunaga
6,Shang-Chi and the Legend of the Ten Rings,"Action, Adventure, Fantasy",7.4,Destin Daniel Cretton
7,Black Widow,"Action, Adventure, Sci-Fi",6.7,Cate Shortland
8,Free Guy,"Action, Adventure, Comedy",7.1,Shawn Levy
9,The Suicide Squad,"Action, Adventure, Comedy",7.2,James Gunn
10,Eternals,"Action, Adventure, Fantasy",6.3,Chloé Zhao
11,WandaVision,"Action, Comedy, Drama",7.9,
12,Loki,"Action, Adventure, Fantasy",8.2,
13,Aspirants,Drama,9.2,
14,Red Notice,"Action, Comedy, Thriller",6.3,Rawson Marshall Thurber
15,The Matrix Resurrections,"Action, Sci-Fi",5.7,Lana Wachowski
16,Nobody,"Action, Crime, Drama",7.4,Ilya Naishuller
17,Cruella,"Adventure, Comedy, Crime",7.3,Craig Gillespie
18,Venom: Let There Be Carnage,"Action, Adventure, Sci-Fi",5.9,Andy Serkis
19,Encanto,"Animation, Comedy, Family",7.2,Jared Bush
20,The Falcon and the Winter Soldier,"Action, Adventure, Drama",7.2,
21,Godzilla vs. Kong,"Action, Sci-Fi, Thriller",6.3,Adam Wingard
22,The Tomorrow War,"Action, Adventure, Drama",6.5,Chris McKay
23,Jai Bhim,"Crime, Drama, Mystery",8.9,T.J. Gnanavel
24,Arcane,"Animation, Action, Adventure",9.0,
25,Jungle Cruise,"Action, Adventure, Comedy",6.6,Jaume Collet-Serra
26,Radhe,"Action, Crime, Thriller",1.9,Prabhu Deva
27,Army of the Dead,"Action, Crime, Horror",5.7,Zack Snyder
28,Mortal Kombat,"Action, Adventure, Fantasy",6.1,Simon McQuoid
29,Wrath of Man,"Action, Crime, Thriller",7.1,Guy Ritchie
30,Hawkeye,"Action, Adventure, Crime",7.5,
31,Ghostbusters: Afterlife,"Adventure, Comedy, Fantasy",7.1,Jason Reitman
32,The Power of the Dog,"Drama, Romance, Western",6.8,Jane Campion
33,Luca,"Animation, Adventure, Comedy",7.4,Enrico Casarosa
34,Mare of Easttown,"Crime, Drama, Mystery",8.5,
35,The Last Duel,"Action, Drama, History",7.4,Ridley Scott
36,Raya and the Last Dragon,"Animation, Action, Adventure",7.3,Don Hall
37,The Book of Boba Fett,"Action, Adventure, Sci-Fi",7.3,
38,The King's Man,"Action, Adventure, Thriller",6.3,Matthew Vaughn
39,Nightmare Alley,"Crime, Drama, Thriller",7.0,Guillermo del Toro
40,F9: The Fast Saga,"Action, Crime, Thriller",5.2,Justin Lin
41,Invincible,"Animation, Action, Adventure",8.7,
42,Last Night in Soho,"Drama, Horror, Mystery",7.1,Edgar Wright
43,CODA,"Comedy, Drama, Music",8.0,Sian Heder
44,The Guilty,"Crime, Drama, Thriller",6.3,Antoine Fuqua
45,Shershaah,"Action, Biography, Drama",8.4,Vishnuvardhan
46,House of Gucci,"Biography, Crime, Drama",6.6,Ridley Scott
47,Dhindora,"Comedy, Drama",8.8,
48,The French Dispatch,"Comedy, Drama, Romance",7.2,Wes Anderson
49,Old,"Drama, Horror, Mystery",5.8,M. Night Shyamalan
50,The Conjuring: The Devil Made Me Do It,"Horror, Mystery, Thriller",6.3,Michael Chaves
51,Midnight Mass,"Drama, Fantasy, Horror",7.7,
52,What If...?,"Animation, Action, Adventure",7.4,
53,The Unforgivable,"Crime, Drama",7.1,Nora Fingscheidt
54,The Mitchells vs the Machines,"Animation, Adventure, Comedy",7.6,Michael Rianda
55,Lupin,"Action, Crime, Drama",7.5,
56,"tick, tick... BOOM!","Biography, Drama, Musical",7.5,Lin-Manuel Miranda
57,King Richard,"Biography, Drama, Sport",7.5,Reinaldo Marcus Green
58,The Wheel of Time,"Action, Adventure, Drama",7.1,
59,The Little Things,"Crime, Drama, Mystery",6.3,John Lee Hancock
60,The Green Knight,"Adventure, Drama, Fantasy",6.6,David Lowery
61,Licorice Pizza,"Comedy, Drama, Romance",7.3,Paul Thomas Anderson
62,Hitman's Wife's Bodyguard,"Action, Comedy, Crime",6.1,Patrick Hughes
63,Malignant,"Crime, Horror, Mystery",6.2,James Wan
64,Dexter: New Blood,"Crime, Drama, Mystery",8.1,
65,Shadow and Bone,"Action, Adventure, Drama",7.6,
66,Only Murders in the Building,"Comedy, Crime, Drama",8.1,
67,Finch,"Adventure, Drama, Sci-Fi",6.8,Miguel Sapochnik
68,Maid,Drama,8.4,
69,Fear Street: Part One - 1994,"Drama, Horror, Mystery",6.2,Leigh Janiak
70,West Side Story,"Crime, Drama, Musical",7.2,Steven Spielberg
71,Sooryavanshi,"Action, Crime, Thriller",6.3,Rohit Shetty
72,Halloween Kills,"Horror, Thriller",5.5,David Gordon Green
73,Judas and the Black Messiah,"Biography, Drama, History",7.4,Shaka King
74,Attack on Titan,"Animation, Action, Adventure",9.9,Jun Shishido
75,Army of Thieves,"Action, Comedy, Crime",6.4,Matthias Schweighöfer
76,The Woman in the Window,"Crime, Drama, Mystery",5.7,Joe Wright
77,The Dig,"Biography, Drama, History",7.1,Simon Stone
78,Master,"Action, Thriller",7.3,Lokesh Kanagaraj
79,Space Jam: A New Legacy,"Animation, Adventure, Comedy",4.4,Malcolm D. Lee
80,Pig,"Drama, Mystery",6.9,Michael Sarnoski
81,Coming 2 America,Comedy,5.3,Craig Brewer
82,Pushpa: The Rise - Part 1,"Action, Adventure, Crime",7.6,Sukumar
83,The Black Phone,"Horror, Thriller",7.0,Scott Derrickson
84,Belfast,"Biography, Drama",7.3,Kenneth Branagh
85,Spencer,"Biography, Drama",6.6,Pablo Larraín
86,Fear Street: Part Two - 1978,"Drama, Horror, Mystery",6.7,Leigh Janiak
87,The Lost Daughter,Drama,6.7,Maggie Gyllenhaal
88,The White Lotus,"Comedy, Drama",7.6,
89,Candyman,"Horror, Thriller",5.9,Nia DaCosta
90,The Harder They Fall,"Action, Drama, Western",6.5,Jeymes Samuel
91,Tandav,"Drama, Thriller",4.5,
92,Kate,"Action, Adventure, Crime",6.2,Cedric Nicolas-Troyan
93,The White Tiger,"Crime, Drama",7.1,Ramin Bahrani
94,Behind Her Eyes,"Drama, Mystery, Thriller",7.2,
95,Sing 2,"Animation, Adventure, Comedy",7.4,Garth Jennings
96,Those Who Wish Me Dead,"Action, Drama, Thriller",6.0,Taylor Sheridan
97,Friends: The Reunion,"Documentary, Biography, Comedy",8.0,Russell Norman
98,Attack on Titan,"Animation, Action, Adventure",9.8,Teruyuki Omine
99,1883,"Drama, Western",8.8,
100,Attack on Titan,"Animation, Action, Adventure",9.8,
101,Without Remorse,"Action, Thriller, War",5.7,Stefano Sollima
102,Foundation,"Drama, Sci-Fi",7.4,
103,The Worst Person in the World,"Comedy, Drama, Romance",7.8,Joachim Trier
104,Reminiscence,"Mystery, Romance, Sci-Fi",5.8,Lisa Joy
105,Don't Breathe 2,"Action, Crime, Horror",6.0,Rodo Sayagues
106,The Many Saints of Newark,"Crime, Drama",6.3,Alan Taylor
107,Clickbait,"Crime, Drama, Mystery",7.2,
108,Spiral,"Crime, Horror, Mystery",5.2,Darren Lynn Bousman
109,Fear Street: Part Three - 1666,"Horror, Mystery",6.6,Leigh Janiak
110,Sweet Tooth,"Action, Adventure, Drama",7.8,
111,Dopesick,Drama,8.6,
112,The Mauritanian,"Biography, Drama, Thriller",7.4,Kevin Macdonald
113,Love Hard,"Comedy, Romance",6.3,Hernan Jimenez
114,Resident Evil: Welcome to Raccoon City,"Action, Horror, Sci-Fi",5.2,Johannes Roberts
115,Nine Perfect Strangers,"Drama, Mystery, Thriller",7.0,
116,Infinite,"Action, Sci-Fi, Thriller",5.4,Antoine Fuqua
117,Inside,"Comedy, Drama, Music",8.6,Bo Burnham
118,Blood Red Sky,"Action, Adventure, Fantasy",6.1,Peter Thorwarth
119,Chaos Walking,"Action, Adventure, Fantasy",5.7,Doug Liman
120,Ginny & Georgia,"Comedy, Drama",7.4,
121,In the Heights,"Drama, Musical, Romance",7.3,Jon M. Chu
122,Stowaway,"Adventure, Sci-Fi, Thriller",5.6,Joe Penna
123,Drive My Car,Drama,7.6,Ryûsuke Hamaguchi
124,The Chestnut Man,"Crime, Drama, Mystery",7.7,
125,Gunpowder Milkshake,"Action, Thriller",6.0,Navot Papushado
126,Escape Room: Tournament of Champions,"Action, Adventure, Horror",5.7,Adam Robitel
127,The Witcher: Nightmare of the Wolf,"Animation, Action, Adventure",7.2,Kwang Il Han
128,The Serpent,"Crime, Drama, Thriller",7.6,
129,Titane,"Drama, Horror, Sci-Fi",6.6,Julia Ducournau
130,Outside the Wire,"Action, Adventure, Fantasy",5.4,Mikael Håfström
131,Thunder Force,"Action, Adventure, Comedy",4.4,Ben Falcone
132,Yellowjackets,"Drama, Horror, Mystery",7.9,
133,Cinderella,"Comedy, Family, Fantasy",4.2,Kay Cannon
134,Stillwater,"Crime, Drama, Thriller",6.6,Tom McCarthy
135,Sardar Udham,"Biography, Crime, Drama",8.5,Shoojit Sircar
136,The Hand of God,Drama,7.3,Paolo Sorrentino
137,Antim: The Final Truth,"Action, Crime, Drama",6.8,Mahesh Manjrekar
138,Dhamaka,"Crime, Drama, Thriller",7.2,Ram Madhvani
139,Being the Ricardos,"Biography, Drama",6.5,Aaron Sorkin
140,Fate: The Winx Saga,"Action, Adventure, Drama",6.9,
141,The Ice Road,"Action, Adventure, Thriller",5.6,Jonathan Hensleigh
142,Cowboy Bebop,"Action, Adventure, Comedy",6.7,
143,Mimi,"Comedy, Drama",7.9,Rajesh Bhatia
144,Oxygen,"Drama, Fantasy, Sci-Fi",6.5,Alexandre Aja
145,The Cost of Deception,"Crime, Drama, History",1.5,Keith English
146,Jupiter's Legacy,"Action, Adventure, Drama",6.7,
147,Snake Eyes,"Action, Adventure, Crime",5.3,Robert Schwentke
148,Fatherhood,"Comedy, Drama",6.6,Paul Weitz
149,Malcolm & Marie,"Drama, Romance",6.6,Sam Levinson
150,Resident Alien,"Comedy, Drama, Mystery",8.1,
151,'83,"Biography, Drama, History",7.5,Kabir Khan
152,Drishyam 2,"Crime, Drama, Thriller",8.4,Jeethu Joseph
153,Antlers,"Drama, Horror, Mystery",5.9,Scott Cooper
154,1959,"Drama, Sci-Fi",8.4,Team Round2hell
155,Toofaan,"Action, Drama, Sport",5.7,Rakeysh Omprakash Mehra
156,Tom and Jerry,"Animation, Adventure, Comedy",5.2,Tim Story
157,Palmer,Drama,7.2,Fisher Stevens
158,Clarkson's Farm,"Documentary, Comedy, Reality-TV",9.0,
159,No Sudden Move,"Crime, Drama, Mystery",6.4,Steven Soderbergh
160,Attack on Titan,"Animation, Action, Adventure",9.5,
161,The Marksman,"Adventure, Drama, Thriller",5.6,Robert Lorenz
162,The Tragedy of Macbeth,"Drama, Mystery, Thriller",7.1,Joel Coen
163,Ron's Gone Wrong,"Animation, Adventure, Comedy",7.0,Sarah Smith
164,The Forever Purge,"Action, Horror, Thriller",5.4,Everardo Gout
165,Cherry,"Crime, Drama",6.6,Anthony Russo
166,Sweet Girl,"Action, Drama, Thriller",5.5,Brian Andrew Mendoza
167,Superman & Lois,"Action, Adventure, Drama",7.8,
168,Things Heard & Seen,"Drama, Horror, Mystery",5.3,Shari Springer Berman
169,Thalaivi,"Biography, Drama",5.9,A.L. Vijay
170,The Protégé,"Action, Thriller",6.1,Martin Campbell
171,Star Wars: The Bad Batch,"Animation, Action, Adventure",7.8,
172,Stay Close,"Crime, Drama, Mystery",6.9,
173,Seaspiracy,"Documentary, Adventure",8.1,Ali Tabrizi
174,The Card Counter,"Crime, Drama, Thriller",6.2,Paul Schrader
175,It's a Sin,"Comedy, Drama, History",8.7,
176,Jolt,"Action, Comedy, Crime",5.6,Tanya Wexler
177,The Innocent,"Crime, Drama, Mystery",7.8,
178,Wrong Turn,"Horror, Thriller",5.5,Mike P. Nelson
179,The Eyes of Tammy Faye,"Biography, Drama, Romance",6.6,Michael Showalter
180,Copshop,"Action, Thriller",6.2,Joe Carnahan
181,Young Royals,"Drama, Romance",8.3,
182,Loki,"Action, Adventure, Fantasy",8.6,Kate Herron
183,Munich: The Edge of War,"Biography, Drama, History",6.8,Christian Schwochow
184,Mumbai Diaries 26/11,"Drama, Thriller",8.9,
185,Minnal Murali,"Action, Adventure, Comedy",7.9,Basil Joseph
186,Willy's Wonderland,"Action, Comedy, Horror",5.5,Kevin Lewis
187,Racket Boys,"Comedy, Drama, Sport",4.0,
188,Chehre,"Drama, Mystery, Thriller",6.5,Rumi Jaffery
189,Dhindora,"Comedy, Drama",9.2,Himank Gaur
190,C'mon C'mon,Drama,7.4,Mike Mills
191,Attack on Titan,"Animation, Action, Adventure",9.7,Jun Shishido
192,And Just Like That...,"Comedy, Drama, Romance",5.6,
193,The Tender Bar,Drama,6.7,George Clooney
194,Masters of the Universe: Revelation,"Animation, Action, Adventure",5.2,
195,Parallel Mothers,Drama,7.1,Pedro Almodóvar
196,Haseen Dillruba,"Crime, Drama, Mystery",6.9,Vinil Mathew
197,Bhoot Police,"Comedy, Horror",7.1,Pawan Kripalani
198,Hacks,"Comedy, Drama",8.2,
199,Invasion,"Drama, Fantasy, Sci-Fi",5.9,
200,Dave Chappelle: The Closer,Comedy,8.0,Stan Lathan
201,Loki,"Action, Adventure, Fantasy",8.7,Kate Herron
202,Anne Boleyn,"Drama, History",5.7,
203,Wish Dragon,"Animation, Adventure, Comedy",7.2,Chris Appelhans
204,Beckett,"Action, Crime, Drama",5.6,Ferdinando Cito Filomarino
205,Cry Macho,"Drama, Western",5.7,Clint Eastwood
206,WandaVision,"Action, Comedy, Drama",7.3,Matt Shakman
207,To All the Boys: Always and Forever,"Comedy, Drama, Romance",6.3,Michael Fimognari
208,Space Sweepers,"Action, Adventure, Drama",6.5,Sung-hee Jo
209,Moxie,"Comedy, Drama, Music",6.7,Amy Poehler
210,Night Stalker: The Hunt for a Serial Killer,"Documentary, Crime, Mystery",7.5,
211,Attack on Titan,"Animation, Action, Adventure",9.0,
212,Lamb,"Drama, Fantasy, Horror",6.3,Valdimar Jóhannsson
213,Attack on Titan,"Animation, Action, Adventure",9.6,
214,Loki,"Action, Adventure, Fantasy",9.0,Kate Herron
215,Atrangi Re,"Comedy, Drama, Fantasy",6.5,Aanand L. Rai
216,Bad Trip,Comedy,6.5,Kitao Sakurai
217,14 Peaks: Nothing Is Impossible,"Documentary, Adventure, Sport",7.7,Torquil Jones
218,Bhuj: The Pride of India,"Action, Drama, History",4.7,Abhishek Dudhaiya
219,He's All That,"Comedy, Romance",4.3,Mark Waters
220,The Vault,"Action, Adventure, Thriller",6.4,Jaume Balagueró
221,Attack on Titan,"Animation, Action, Adventure",9.5,Yûichirô Hayashi
222,WandaVision,"Action, Comedy, Drama",7.6,Matt Shakman
223,WandaVision,"Action, Comedy, Drama",8.7,Matt Shakman
224,Loki,"Action, Adventure, Fantasy",7.7,Kate Herron
225,Yes Day,"Comedy, Family",5.7,Miguel Arteta
226,Attack on Titan,"Animation, Action, Adventure",9.6,
227,Redemption Day,"Action, Drama, Thriller",4.5,Hicham Hajji
228,WandaVision,"Action, Comedy, Drama",8.9,Matt Shakman
229,Station Eleven,"Adventure, Drama, Fantasy",7.6,
230,Old Henry,"Action, Drama",7.2,Potsy Ponciroli
231,Hellbound,"Crime, Drama, Fantasy",6.6,
232,A Hero,Drama,7.5,Asghar Farhadi
233,The Nevers,"Action, Drama, Fantasy",7.4,
234,Schumacher,"Documentary, Biography, Sport",7.4,Hanns-Bruno Kammertöns
235,Bellbottom,"Action, Thriller",6.1,Ranjit Tewari
236,WandaVision,"Action, Comedy, Drama",8.0,Matt Shakman
237,Attack on Titan,"Animation, Action, Adventure",8.6,Kaori Makita
238,The Map of Tiny Perfect Things,"Comedy, Fantasy, Romance",6.8,Ian Samuels
239,Maanaadu,"Action, Adventure, Sci-Fi",8.3,Venkat Prabhu
240,Sarpatta Parambarai,"Action, Drama, Sport",8.6,Pa. Ranjith
241,Mayor of Kingstown,"Crime, Drama, Thriller",8.2,
242,Vacation Friends,"Adventure, Comedy",6.3,Clay Tarver
243,WandaVision,"Action, Comedy, Drama",8.9,Matt Shakman
244,Awake,"Action, Adventure, Drama",4.9,Mark Raso
245,Loki,"Action, Adventure, Fantasy",8.9,Kate Herron
246,Loki,"Action, Adventure, Fantasy",8.6,Kate Herron
247,WandaVision,"Action, Comedy, Drama",8.3,Matt Shakman
248,Karnan,"Action, Drama",8.1,Mari Selvaraj
249,A Boy Called Christmas,"Adventure, Drama, Family",6.7,Gil Kenan
250,The Trip,"Action, Comedy, Horror",6.9,Tommy Wirkola
251,Scenes from a Marriage,Drama,8.0,
252,The Beatles: Get Back,"Documentary, Biography, Music",9.0,
253,Boiling Point,"Drama, Thriller",7.5,Philip Barantini
254,Firefly Lane,"Drama, Romance",7.4,
255,WandaVision,"Action, Comedy, Drama",8.7,Matt Shakman
256,Sex/Life,"Comedy, Drama, Romance",5.4,
257,Till Death,Thriller,5.8,S.K. Dale
258,Red Rocket,"Comedy, Drama",7.2,Sean Baker
259,Squid Game,"Action, Drama, Mystery",9.2,Hwang Dong-hyuk
260,15/07: Break of Dawn,"Action, Drama, War",3.3,Volkan Kocatürk
261,Voyagers,"Adventure, Sci-Fi, Thriller",5.4,Neil Burger
262,Shiddat,Romance,7.7,Kunal Deshmukh
263,Attack on Titan,"Animation, Action, Adventure",8.9,Teruyuki Omine
264,The Unholy,"Drama, Horror, Mystery",5.1,Evan Spiliotopoulos
265,Attack on Titan,"Animation, Action, Adventure",8.9,
266,Vigil,"Crime, Drama, Mystery",7.4,
267,The Voyeurs,"Drama, Mystery, Thriller",6.0,Michael Mohan
268,My Name,"Action, Crime, Drama",7.8,
269,Time,"Crime, Drama",8.2,
270,The Silent Sea,"Adventure, Drama, Mystery",6.9,
271,WandaVision,"Action, Comedy, Drama",8.3,Matt Shakman
272,Operation Mincemeat,"Drama, War",6.6,John Madden
273,Below Zero,"Action, Adventure, Crime",6.2,Lluís Quílez
274,Annette,"Drama, Musical, Romance",6.3,Leos Carax
275,Them,"Drama, Horror, Thriller",7.3,
276,Werewolves Within,"Comedy, Horror, Mystery",6.0,Josh Ruben
277,The Book of Boba Fett,"Action, Adventure, Sci-Fi",7.3,Robert Rodriguez
278,What If...?,"Animation, Action, Adventure",8.8,Bryan Andrews
279,Vivo,"Animation, Adventure, Comedy",6.7,Kirk DeMicco
280,Mother/Android,"Drama, Sci-Fi, Thriller",4.9,Mattson Tomlin
281,SAS: Red Notice,"Action, Thriller",5.2,Magnus Martens
282,What If...?,"Animation, Action, Adventure",7.0,Bryan Andrews
283,Dota: Dragon's Blood,"Animation, Action, Adventure",7.8,
284,The Falcon and the Winter Soldier,"Action, Adventure, Drama",7.6,Kari Skogland
285,Crime Scene: The Vanishing at the Cecil Hotel,"Documentary, Crime, Mystery",5.9,
286,True Story,"Crime, Drama, Thriller",7.5,
287,A Classic Horror Story,"Drama, Horror, Mystery",5.7,Roberto De Feo
288,Night Teeth,"Action, Crime, Drama",5.6,Adam Randall
289,Benedetta,"Biography, Drama, History",6.8,Paul Verhoeven
290,Bliss,"Drama, Romance",5.3,Mike Cahill
291,The Boss Baby: Family Business,"Animation, Adventure, Comedy",5.8,Tom McGrath
292,Barb and Star Go to Vista Del Mar,Comedy,6.3,Josh Greenbaum
293,Leverage: Redemption,"Crime, Mystery, Thriller",8.3,
294,Meenakshi Sundareshwar,"Comedy, Romance",7.1,Vivek Soni
295,Chucky,"Horror, Thriller",7.3,
296,The Last Letter from Your Lover,"Drama, Romance",6.6,Augustine Frizzell
297,Dhindora,"Comedy, Drama",9.1,Himank Gaur
298,American Horror Stories,"Drama, Horror, Mystery",6.1,
299,Arcane,"Animation, Action, Adventure",9.6,Pascal Charrue
300,The Empire,"Action, Drama, History",4.5,
301,Star Wars: Visions,"Animation, Action, Adventure",7.0,
302,Inside Job,"Animation, Comedy, Fantasy",7.6,
303,Young Rock,Comedy,7.9,
304,Vincenzo,"Action, Comedy, Crime",8.4,
305,Home Sweet Home Alone,"Comedy, Crime, Family",3.6,Dan Mazer
306,What If...?,"Animation, Action, Adventure",7.8,Bryan Andrews
307,The Chair,"Comedy, Drama",7.2,
308,The Kissing Booth 3,"Comedy, Romance",4.7,Vince Marcello
309,Intrusion,"Drama, Thriller",5.2,Adam Salky
310,The Falcon and the Winter Soldier,"Action, Adventure, Drama",8.7,Kari Skogland
311,The Big Bull,"Biography, Crime, Drama",5.9,Kookie Gulati
312,8-Bit Christmas,"Comedy, Family",6.7,Michael Dowse
313,Hypnotic,"Mystery, Thriller",5.3,Matt Angel
314,"Batman: The Long Halloween, Part One","Animation, Action, Crime",7.2,Chris Palmer
315,Aftermath,"Drama, Horror, Mystery",5.3,Peter Winther
316,Satyameva Jayate 2,"Action, Crime, Drama",4.4,Milap Zaveri
317,The Falcon and the Winter Soldier,"Action, Adventure, Drama",7.7,Kari Skogland
318,Doctor,"Action, Comedy, Crime",7.5,Nelson Dilipkumar
319,There's Someone Inside Your House,"Horror, Mystery, Thriller",4.8,Patrick Brice
320,Arcane,"Animation, Action, Adventure",9.6,Pascal Charrue
321,Single All the Way,"Comedy, Drama, Romance",6.1,Michael Mayer
322,Flee,"Documentary, Animation, Biography",7.9,Jonas Poher Rasmussen
323,No One Gets Out Alive,"Drama, Horror, Mystery",5.3,Santiago Menghini
324,Brand New Cherry Flavor,"Drama, Horror, Mystery",7.1,
325,The Fallout,Drama,7.0,Megan Park
326,The Irregulars,"Crime, Drama, Fantasy",5.9,
327,Tokyo Revengers,"Animation, Action, Drama",8.1,
328,Santa Inc.,"Animation, Comedy",1.4,
329,Halston,"Biography, Drama",7.5,
330,Censor,"Horror, Mystery",6.0,Prano Bailey-Bond
331,Death to 2021,Comedy,6.3,Jack Clough
332,The Falcon and the Winter Soldier,"Action, Adventure, Drama",7.8,Kari Skogland
333,Squid Game,"Action, Drama, Mystery",8.2,Hwang Dong-hyuk
334,The Sex Lives of College Girls,Comedy,7.7,
335,The Girl on the Train,"Crime, Drama, Mystery",4.5,Ribhu Dasgupta
336,What If...?,"Animation, Action, Adventure",7.8,Bryan Andrews
337,Special Ops 1.5: The Himmat Story,"Action, Crime, Drama",8.3,
338,Landscapers,"Comedy, Crime, Drama",7.0,
339,Y: The Last Man,"Action, Adventure, Drama",5.9,
340,The Hating Game,"Comedy, Romance",6.2,Peter Hutchings
341,Passing,Drama,6.7,Rebecca Hall
342,The Falcon and the Winter Soldier,"Action, Adventure, Drama",7.7,Kari Skogland
343,Who Killed Sara?,"Crime, Drama, Mystery",6.4,
344,Ghosts,"Comedy, Fantasy",7.7,
345,Dear Evan Hansen,"Drama, Musical",6.1,Stephen Chbosky
346,Cruel Summer,"Drama, Mystery, Thriller",7.5,
347,The Falcon and the Winter Soldier,"Action, Adventure, Drama",7.8,Kari Skogland
348,Candy,Thriller,8.4,
349,Respect,"Biography, Drama, Music",6.5,Liesl Tommy
350,What If...?,"Animation, Action, Adventure",7.7,Bryan Andrews
351,The Rescue,"Documentary, Action, Mystery",8.3,Jimmy Chin
352,Katla,"Drama, Mystery, Sci-Fi",7.0,
353,What If...?,"Animation, Action, Adventure",9.0,Bryan Andrews
354,Swan Song,"Drama, Romance, Sci-Fi",6.8,Benjamin Cleary
355,Chandigarh Kare Aashiqui,"Comedy, Crime, Drama",6.8,Abhishek Kapoor
356,Arcane,"Animation, Action, Adventure",8.5,Pascal Charrue
357,Red Dot,"Drama, Horror, Thriller",5.5,Alain Darborg
358,After We Fell,"Drama, Romance",4.6,Castille Landon
359,Pleasure,Drama,6.3,Ninja Thyberg
360,Queenpins,"Comedy, Crime",6.3,Aron Gaudet
361,The Electrical Life of Louis Wain,"Biography, Drama, History",6.8,Will Sharpe
362,Mass,Drama,7.6,Fran Kranz
363,The United States vs. Billie Holiday,"Biography, Drama, Music",6.2,Lee Daniels
364,#Home,Drama,8.8,Rojin Thomas
365,Last Man Down,"Action, Sci-Fi",4.4,Fansu Njie
366,Dhindora,"Comedy, Drama",9.1,Himank Gaur
367,"Batman: The Long Halloween, Part Two","Animation, Action, Crime",7.1,Chris Palmer
368,Squid Game,"Action, Drama, Mystery",7.5,Hwang Dong-hyuk
369,The Witcher,"Action, Adventure, Drama",8.5,Stephen Surjik
370,The Starling,"Comedy, Drama",6.3,Theodore Melfi
371,Clifford the Big Red Dog,"Animation, Adventure, Comedy",5.9,Walt Becker
372,Dhindora,"Comedy, Drama",8.9,Himank Gaur
373,The One,"Crime, Drama, Sci-Fi",6.6,
374,Malik,"Action, Biography, Drama",8.1,Mahesh Narayanan
375,Kurup,"Biography, Crime, Thriller",7.1,Srinath Rajendran
376,Cosmic Sin,"Action, Sci-Fi",2.5,Edward Drake
377,Squid Game,"Action, Drama, Mystery",7.5,Hwang Dong-hyuk
378,American Underdog,"Biography, Drama, Sport",7.1,Andrew Erwin
379,Fauci,"Documentary, Biography, History",6.2,John Hoffman
380,The Equalizer,"Action, Crime, Drama",5.0,
381,Hawkeye,"Action, Adventure, Crime",7.5,Rhys Thomas
382,The North Water,"Adventure, Drama, Mystery",7.6,
383,Silent Night,"Comedy, Drama, Horror",5.7,Camille Griffin
384,Squid Game,"Action, Drama, Mystery",8.4,Hwang Dong-hyuk
385,Rick and Morty,"Animation, Adventure, Comedy",9.0,Wesley Archer
386,Dr. Death,"Crime, Drama, Thriller",7.6,
387,Good on Paper,"Comedy, Romance",5.6,Kimmy Gatewood
388,Deadly Illusions,"Drama, Thriller",3.7,Anna Elizabeth James
389,Paper Lives,Drama,6.5,Can Ulkay
390,Tribes of Europa,"Action, Adventure, Drama",6.7,
391,Squid Game,"Action, Drama, Mystery",8.0,Hwang Dong-hyuk
392,Arcane,"Animation, Action, Adventure",8.6,Pascal Charrue
393,Major Grom: Plague Doctor,"Action, Crime",6.3,Oleg Trofim
394,A Castle for Christmas,"Adventure, Comedy, Drama",5.5,Mary Lambert
395,Injustice,"Animation, Action, Adventure",6.3,Matt Peters
396,Ashish Chanchlani Vines,Comedy,8.7,Ashish Chanchlani
397,Locked Down,"Comedy, Crime, Romance",5.2,Doug Liman
398,What If...?,"Animation, Action, Adventure",6.4,Bryan Andrews
399,Shyam Singha Roy,"Drama, Romance",7.7,Rahul Sankrityan
400,The Shrink Next Door,"Comedy, Drama",7.1,
401,The Lady of Heaven,"Action, Drama, History",5.7,Eli King
402,Vakeel Saab,"Action, Crime, Drama",7.0,Venu Sriram
403,Jagame Thandhiram,"Action, Crime, Drama",5.8,Karthik Subbaraj
404,The Walking Dead,"Drama, Horror, Thriller",9.1,Laura Belsey
405,Val,"Documentary, Biography",7.6,Ting Poo
406,Akhanda,"Action, Drama",6.8,Boyapati Srinu
407,The Married Woman,"Drama, Romance",6.3,
408,Squid Game,"Action, Drama, Mystery",7.9,Hwang Dong-hyuk
409,Reservation Dogs,"Comedy, Crime",8.0,
410,"Love, Death & Robots","Animation, Short, Action",8.1,Jennifer Yuh Nelson
411,All Too Well: The Short Film,"Short, Drama, Music",8.4,Taylor Swift
412,Rick and Morty,"Animation, Adventure, Comedy",5.7,Wesley Archer
413,Dhindora,"Comedy, Drama",9.2,Himank Gaur
414,As If,Comedy,9.0,
415,What If...?,"Animation, Action, Adventure",6.7,Bryan Andrews
416,First Signal,"Drama, History, Sci-Fi",6.0,Mark Lund
417,Walker,"Action, Crime, Drama",5.9,
418,Squid Game,"Action, Drama, Mystery",7.6,Hwang Dong-hyuk
