,Title,Genres,Ratings,Director
9242,The Guilty,"Crime, Drama, Thriller",6.3,Antoine Fuqua
9243,Shershaah,"Action, Biography, Drama",8.4,Vishnuvardhan
9244,House of Gucci,"Biography, Crime, Drama",6.6,Ridley Scott
9245,Dhindora,"Comedy, Drama",8.8,
9246,The French Dispatch,"Comedy, Drama, Romance",7.2,Wes Anderson
9247,Old,"Drama, Horror, Mystery",5.8,M. Night Shyamalan
9248,Spider-Man: No Way Home,"Action, Adventure, Fantasy",8.3,Jon Watts
9249,Dune,"Action, Adventure, Drama",8.0,Denis Villeneuve
9250,Don't Look Up,"Comedy, Drama, Sci-Fi",7.2,Adam McKay
9251,Squid Game,"Action, Drama, Mystery",8.0,
9252,Zack Snyder's Justice League,"Action, Adventure, Fantasy",8.0,Zack Snyder
9253,No Time to Die,"Action, Adventure, Thriller",7.3,Cary Joji Fukunaga
9254,Shang-Chi and the Legend of the Ten Rings,"Action, Adventure, Fantasy",7.4,Destin Daniel Cretton
9255,Black Widow,"Action, Adventure, Sci-Fi",6.7,Cate Shortland
9256,Free Guy,"Action, Adventure, Comedy",7.1,Shawn Levy
9257,The Suicide Squad,"Action, Adventure, Comedy",7.2,James Gunn
9258,Eternals,"Action, Adventure, Fantasy",6.3,Chloé Zhao
9259,WandaVision,"Action, Comedy, Drama",7.9,
9260,Loki,"Action, Adventure, Fantasy",8.2,
9261,Aspirants,Drama,9.2,
9262,Red Notice,"Action, Comedy, Thriller",6.3,Rawson Marshall Thurber
9263,The Matrix Resurrections,"Action, Sci-Fi",5.7,Lana Wachowski
9264,Nobody,"Action, Crime, Drama",7.4,Ilya Naishuller
9265,Cruella,"Adventure, Comedy, Crime",7.3,Craig Gillespie
9266,Venom: Let There Be Carnage,"Action, Adventure, Sci-Fi",5.9,Andy Serkis
9267,Encanto,"Animation, Comedy, Family",7.2,Jared Bush
9268,The Falcon and the Winter Soldier,"Action, Adventure, Drama",7.2,
9269,Godzilla vs. Kong,"Action, Sci-Fi, Thriller",6.3,Adam Wingard
9270,The Tomorrow War,"Action, Adventure, Drama",6.5,Chris McKay
9271,Jai Bhim,"Crime, Drama, Mystery",8.9,T.J. Gnanavel
9272,Arcane,"Animation, Action, Adventure",9.0,
9273,Jungle Cruise,"Action, Adventure, Comedy",6.6,Jaume Collet-Serra
9274,Radhe,"Action, Crime, Thriller",1.9,Prabhu Deva
9275,Army of the Dead,"Action, Crime, Horror",5.7,Zack Snyder
9276,Mortal Kombat,"Action, Adventure, Fantasy",6.1,Simon McQuoid
9277,Wrath of Man,"Action, Crime, Thriller",7.1,Guy Ritchie
9278,Hawkeye,"Action, Adventure, Crime",7.5,
9279,Ghostbusters: Afterlife,"Adventure, Comedy, Fantasy",7.1,Jason Reitman
9280,The Power of the Dog,"Drama, Romance, Western",6.8,Jane Campion
9281,Luca,"Animation, Adventure, Comedy",7.4,Enrico Casarosa
9282,Mare of Easttown,"Crime, Drama, Mystery",8.5,
9283,The Last Duel,"Action, Drama, History",7.4,Ridley Scott
9284,Raya and the Last Dragon,"Animation, Action, Adventure",7.3,Don Hall
9285,The Book of Boba Fett,"Action, Adventure, Sci-Fi",7.3,
9286,The King's Man,"Action, Adventure, Thriller",6.3,Matthew Vaughn
9287,Nightmare Alley,"Crime, Drama, Thriller",7.0,Guillermo del Toro
9288,F9: The Fast Saga,"Action, Crime, Thriller",5.2,Justin Lin
9289,Invincible,"Animation, Action, Adventure",8.7,
9290,Last Night in Soho,"Drama, Horror, Mystery",7.1,Edgar Wright
9291,CODA,"Comedy, Drama, Music",8.0,Sian Heder
9292,The Guilty,"Crime, Drama, Thriller",6.3,Antoine Fuqua
9293,Shershaah,"Action, Biography, Drama",8.4,Vishnuvardhan
9294,House of Gucci,"Biography, Crime, Drama",6.6,Ridley Scott
9295,Dhindora,"Comedy, Drama",8.8,
